,date,precipitation,temp_mean,temp_highest,temp_lowest,PM10,PM2.5,humidity,sunshine_sum,sunshine_rate,wind_mean,wind_max,rental,precipitation_label,PM10_label,PM2.5_label
1,2018-01-01,NA,-1.3,3.8,-5.1,34,17,39.1,8.3,86.5,1.4,3.8,4950,NA,2,2
2,2018-01-02,NA,-1.8,1.8,-4.3,36,22,42,7.9,82.3,1.8,4.9,7136,NA,2,2
3,2018-01-03,NA,-4.7,-0.4,-7.1,31,19,42.3,8.6,88.7,2.2,3.5,7156,NA,2,2
4,2018-01-04,NA,-4.7,-0.7,-8.7,39,24,43,6.2,63.9,1.4,3.5,7102,NA,2,2
5,2018-01-05,NA,-3,1.6,-5.6,51,35,48.4,8.2,84.5,1.7,3.6,7705,NA,2,2
6,2018-01-06,NA,-2.8,2.9,-6.8,38,27,45.8,8.8,90.7,1.5,3.1,5681,NA,2,2
7,2018-01-07,NA,-0.8,2.8,-5.7,47,36,42.1,3.1,32,0.8,2.5,5220,NA,2,3
8,2018-01-08,0.9,1.3,4,-1.2,49,37,51.9,0.5,5.2,1.8,7.1,6309,1,2,3
9,2018-01-09,0.5,-4.2,-1.2,-6.1,37,19,59.4,8.4,86.6,2.9,6.1,5988,1,2,2
10,2018-01-10,0.3,-7.5,-4.8,-10.3,27,13,52,8.8,89.8,3,6.1,4476,1,1,1
11,2018-01-11,NA,-11.1,-7.4,-13.6,30,22,49.8,8.7,88.8,2.8,4.9,4337,NA,1,2
12,2018-01-12,0,-10.2,-5.4,-15.3,21,14,35.4,8.8,89.8,1.7,3.6,4401,1,1,1
13,2018-01-13,0.4,-4.4,-1.2,-6.6,48,37,67.3,0.9,9.2,0.8,1.7,3756,1,2,3
14,2018-01-14,NA,0.6,5.4,-4.4,64,50,64.1,5.6,57.1,1.2,2.8,4675,NA,2,3
15,2018-01-15,0.2,4.7,7.7,1.8,63,45,63.9,6.5,65.7,1.4,3.3,6993,1,2,3
16,2018-01-16,0,3.5,6.8,0.1,97,74,59.1,0.5,5.1,0.7,2.2,7421,1,3,3
17,2018-01-17,NA,4.5,8.7,2.4,99,78,64.1,4.8,48.5,1.2,3.7,6990,NA,3,4
18,2018-01-18,0,2.1,4.5,0.3,80,56,59.6,NA,0,1.9,3.8,7054,1,2,3
19,2018-01-19,NA,1,5.5,-2.5,51,28,43,8.7,87.9,1.6,3.7,8329,NA,2,2
20,2018-01-20,NA,2.2,6.9,-1,86,56,57.6,5.3,53,1.6,3.6,6148,NA,3,3
21,2018-01-21,NA,0.4,5.5,-3.7,52,33,36.6,8.2,82,1,3.2,5574,NA,2,2
22,2018-01-22,3.3,0.2,4,-5.3,38,21,56.5,0.7,7,1.5,5.1,4929,2,2,2
23,2018-01-23,NA,-11.7,-5.3,-14.6,21,12,42,9.1,90.1,3.7,5.4,4263,NA,1,1
24,2018-01-24,NA,-14.2,-10.7,-16.3,26,10,31.6,8.9,88.1,3.4,7.2,3370,NA,1,1
25,2018-01-25,NA,-14,-9.5,-16.4,22,12,32.6,8.3,82.2,2.8,4.8,3307,NA,1,1
26,2018-01-26,NA,-14.8,-10.7,-17.8,28,18,34.9,NA,0,2.6,4.6,3116,NA,1,2
27,2018-01-27,NA,-9.9,-3.5,-15.9,37,26,37.4,9,88.2,1.4,3.4,2833,NA,2,2
28,2018-01-28,NA,-6.3,-1.2,-9.3,26,17,36,7.6,74.5,2.6,5.6,3028,NA,1,2
29,2018-01-29,NA,-8.5,-4.7,-11.6,39,16,35,8.9,87.3,2.7,6.2,4425,NA,2,2
30,2018-01-30,2.9,-5.3,-0.8,-11.4,36,20,62,5.6,54.4,1.3,3.8,3591,1,2,2
31,2018-01-31,0,-2.6,0,-5.2,35,18,54.5,1.8,17.5,1.6,3.4,4104,1,2,2
32,2018-02-01,NA,-4,1.2,-8.8,34,21,44.1,9.1,88.3,1.6,3.9,5821,NA,2,2
33,2018-02-02,NA,-2.4,3.8,-7.6,48,32,51.1,8.8,84.6,1.6,3.6,6557,NA,2,2
34,2018-02-03,0.5,-7.3,-2.1,-10.4,31,19,47,9.1,87.5,3.8,5.7,3499,1,2,2
35,2018-02-04,NA,-9.5,-5.2,-12.8,27,20,40.9,9.1,87.5,3.1,5.6,2642,NA,1,2
36,2018-02-05,NA,-9.4,-5.1,-11.8,23,14,37.8,9.3,88.6,3,5.6,4213,NA,1,1
37,2018-02-06,NA,-10.1,-5.8,-12.8,27,17,36.5,9,85.7,3.1,4.9,4257,NA,1,2
38,2018-02-07,NA,-8,-1.6,-13.4,34,23,39.8,9.2,87.6,1.5,3.3,5028,NA,2,2
39,2018-02-08,NA,-4.4,2,-9.7,45,32,43.3,9.2,86.8,1.2,3,6114,NA,2,2
40,2018-02-09,NA,0.4,6.1,-5.3,63,48,43.9,2.2,20.8,1.1,3,6905,NA,2,3
41,2018-02-10,NA,-0.5,3.2,-6.9,66,39,47.4,5.3,50,3,6.3,4829,NA,2,3
42,2018-02-11,0,-6.1,-2.2,-9.5,44,13,42.5,6.6,61.7,2.7,5.1,3047,1,2,1
43,2018-02-12,0,-5.8,-1.8,-9.6,41,13,40.8,8.7,81.3,2.7,5.2,5231,1,2,1
44,2018-02-13,NA,-0.8,4.3,-7.4,43,14,54.5,8.3,76.9,2.7,5.6,6863,NA,2,1
45,2018-02-14,NA,3.5,8.7,-0.7,59,27,51,3.3,30.6,2.6,5.4,7477,NA,2,2
46,2018-02-15,NA,-0.7,4,-3.7,32,14,28,NA,0,2.5,4.4,3935,NA,2,1
47,2018-02-16,NA,-1.1,4.9,-5.5,41,16,40.1,9.7,89,2.1,5.5,3047,NA,2,2
48,2018-02-17,NA,-3,1.4,-7.1,NA,NA,25.6,9,82.6,2.9,5.5,3494,NA,NA,NA
49,2018-02-18,NA,-0.4,5.2,-4.9,30,14,26.9,7.2,66.1,1.3,3.5,5191,NA,1,1
50,2018-02-19,NA,1.8,6.8,-1.9,51,33,48.6,4.8,43.6,1.5,3,8563,NA,2,2
51,2018-02-20,NA,0.9,5.5,-2.4,51,32,41,8.3,75.5,2.5,5.8,8899,NA,2,2
52,2018-02-21,NA,-0.9,4.4,-4.5,32,17,31.5,9.8,89.1,2.3,5.2,8342,NA,2,2
53,2018-02-22,0.4,1.3,5.4,-3.9,42,25,59,6.4,57.7,2.2,5.2,8580,1,2,2
54,2018-02-23,3.7,4.2,8.6,-0.3,79,55,81.1,4.8,43.2,1.9,5,6408,2,2,3
55,2018-02-24,NA,2.4,7.2,-1.1,68,47,49.4,7.6,67.9,2.1,3.9,7198,NA,2,3
56,2018-02-25,NA,1.9,7.9,-1.6,36,25,40.6,9.2,82.1,1.7,3.8,7595,NA,2,2
57,2018-02-26,NA,3.1,10.4,-3.2,55,36,43.1,10.2,91.1,1.4,3.6,10712,NA,2,3
58,2018-02-27,NA,4.2,6.9,0.6,82,55,48.8,0,0,0.9,1.8,10064,NA,3,3
59,2018-02-28,25,4.6,7.8,1.8,67,43,73.3,0,0,2,3.7,4230,3,2,3
60,2018-03-01,0.5,-0.2,3,-4.3,35,26,61.9,8.7,76.3,3.8,6.9,5761,1,2,2
61,2018-03-02,NA,-0.7,5.4,-6.7,58,24,34,10.3,90.4,1.5,3.3,9388,NA,2,2
62,2018-03-03,0,7.9,16.2,-0.1,52,26,38.1,10.1,88.6,1.5,3.9,16029,1,2,2
63,2018-03-04,11.5,9.8,11.9,7.6,28,19,89.1,0,0,1.2,3.5,5373,2,1,2
64,2018-03-05,3.5,5.5,11.4,1.3,8,5,67.5,7,60.9,2,3.5,9943,2,1,1
65,2018-03-06,NA,4.5,10.9,-1.1,26,15,46.8,10.6,91.4,1.6,3.7,14028,NA,1,1
66,2018-03-07,0.5,6.4,10.7,2.2,25,14,54,3,25.9,1.8,3.2,12925,1,1,1
67,2018-03-08,4,4.6,9.7,2.7,29,23,76,5.1,44,1.9,4.5,8812,2,1,2
68,2018-03-09,NA,4.5,9.6,1.4,41,31,63.3,5.1,43.6,1.5,4.2,13573,NA,2,2
69,2018-03-10,NA,4.6,9.7,0.7,43,31,65.8,7.9,67.5,2,5.9,13324,NA,2,2
70,2018-03-11,NA,6.4,12.2,2.7,52,35,51.3,9.8,83.1,2,4.2,15136,NA,2,2
71,2018-03-12,NA,8,15.5,2.2,80,52,45.8,7.5,63.6,1.4,4.2,15913,NA,2,3
72,2018-03-13,NA,12.4,18.8,5.2,59,37,60.5,6.6,55.9,1.8,4.3,19514,NA,2,3
73,2018-03-14,NA,17,22.1,13.6,22,11,58.8,7.9,66.4,2.3,5,24911,NA,1,1
74,2018-03-15,27,12.4,16.6,8.4,18,12,92.1,0,0,2.1,4.8,7091,3,1,1
75,2018-03-16,NA,7.1,12.2,3.6,12,6,46.9,11,91.7,1.9,3.1,18415,NA,1,1
76,2018-03-17,NA,6.6,14,0.5,26,16,48,9.1,75.8,1.5,3.8,20165,NA,1,2
77,2018-03-18,0.5,8.2,12.5,5.4,52,36,55.9,0,0,1.2,2.9,11740,1,2,3
78,2018-03-19,1,8,10.4,6.2,30,23,64.5,0,0,2.5,4.2,10297,1,1,2
79,2018-03-20,NA,4.7,9.1,1.6,18,7,39.9,5.4,44.6,3.4,4.8,13205,NA,1,1
80,2018-03-21,1,2.1,5.3,1.1,NA,NA,64.1,0.4,3.3,1.7,3.3,8225,1,NA,NA
81,2018-03-22,NA,4.9,11.6,0.6,NA,NA,61.5,10.7,87.7,2.2,5,16420,NA,NA,NA
82,2018-03-23,NA,6.1,12.5,1.8,NA,NA,55.3,8.7,71.3,2,4.2,17904,NA,NA,NA
83,2018-03-24,NA,7.6,13.1,4,NA,NA,61.9,7.2,58.5,2.1,4.4,14914,NA,NA,NA
84,2018-03-25,NA,9.6,16.9,4.6,NA,NA,65.6,9.5,77.2,1.7,3.5,13942,NA,NA,NA
85,2018-03-26,NA,11,18.1,5.3,NA,NA,64.5,9.1,73.4,1.9,4.4,15505,NA,NA,NA
86,2018-03-27,NA,13.3,20,7.7,NA,NA,61.1,7.9,63.7,1.6,3.9,17456,NA,NA,NA
87,2018-03-28,NA,14,19,9.4,NA,NA,66.4,5.2,41.6,2.2,4.8,21232,NA,NA,NA
88,2018-03-29,NA,15.4,21.1,11.8,NA,NA,66.3,7.5,60,1.6,4,21436,NA,NA,NA
89,2018-03-30,NA,14.8,21.9,9.8,NA,NA,55.6,9.9,79.2,1.7,3.8,24411,NA,NA,NA
90,2018-03-31,NA,14,20.1,9.3,NA,NA,52.9,7.9,62.7,1.9,4.5,25673,NA,NA,NA
91,2018-04-01,NA,15.6,18.5,11.7,NA,NA,68.8,1.3,10.3,1.5,3.5,22994,NA,NA,NA
92,2018-04-02,NA,18.4,23.7,14.9,NA,NA,64,5.6,44.4,1.9,4.5,28139,NA,NA,NA
93,2018-04-03,0.1,17.8,21.2,14.9,NA,NA,72.9,0.8,6.3,2.1,4.4,26817,1,NA,NA
94,2018-04-04,18.5,13.4,18.2,9.5,NA,NA,67,8,63,1.9,5.1,26034,3,NA,NA
95,2018-04-05,10.5,7.6,9.5,6.7,NA,NA,90.6,0,0,2,3.5,2833,2,NA,NA
96,2018-04-06,6.5,5.8,8.6,3,NA,NA,71.6,4,31.3,3.1,5.7,13297,2,NA,NA
97,2018-04-07,0.2,4.2,8.6,1.4,NA,NA,45.5,9,70.3,4.1,6,13088,1,NA,NA
98,2018-04-08,3,3.9,7.9,0.6,NA,NA,59.6,3.3,25.6,1.8,3.6,7758,2,NA,NA
99,2018-04-09,NA,7.9,15.4,0.1,32,22,57.9,9.5,73.6,1.1,2.9,23925,NA,2,2
100,2018-04-10,5,15.1,21.9,6.9,37,18,51,6.3,48.5,3.5,8.8,20423,2,2,2
101,2018-04-11,NA,12.6,17.3,8.7,53,20,49.4,11.8,90.8,3,6.1,25557,NA,2,2
102,2018-04-12,NA,13.3,19.6,6.8,40,14,30.5,12,92.3,2.6,6.2,28885,NA,2,1
103,2018-04-13,NA,14.6,19.3,8.3,29,13,22.9,2.7,20.6,1.3,3.7,29497,NA,1,1
104,2018-04-14,9,9,14.8,7.5,18,10,78.8,0.3,2.3,1.8,4.1,8216,2,1,1
105,2018-04-15,NA,9.5,14.2,5.6,61,17,65.5,8.6,65.2,2.4,4.9,12721,NA,2,2
106,2018-04-16,NA,11.6,18.8,4.9,33,20,41.9,12.3,93.2,1.6,4.7,29589,NA,2,2
107,2018-04-17,NA,12.9,20.1,6.8,50,25,37.9,12.2,92.4,1.9,5.5,28236,NA,2,2
108,2018-04-18,NA,12.4,19.3,6.2,57,27,35.4,12,90.2,1.9,3.9,23499,NA,2,2
109,2018-04-19,NA,14,20.5,7.4,70,32,38.8,11.4,85.7,1.9,5.1,20400,NA,2,2
110,2018-04-20,NA,18.4,26.3,11,NA,NA,46,11.3,84.3,1.3,3.6,28351,NA,NA,NA
111,2018-04-21,NA,18.7,25.6,12.3,66,36,32,12.4,92.5,1.9,4.6,33144,NA,2,3
112,2018-04-22,15.5,15.5,21,10.7,33,18,57.4,0,0,1.1,2.9,8095,3,2,2
113,2018-04-23,59,9.3,10.7,8.4,9,6,93.9,0,0,2.2,3,1037,4,1,1
114,2018-04-24,3,12.1,16.1,8.9,7,4,63.3,0,0,1.4,2.8,24560,2,1,1
115,2018-04-25,NA,14.6,23.3,5.7,30,22,37.8,12.4,91.9,1.5,4.4,33728,NA,1,2
116,2018-04-26,NA,14.9,22.1,10,39,26,51.9,11.7,86,2.1,5.1,32547,NA,2,2
117,2018-04-27,NA,15.7,23.3,9.7,48,33,52.9,11.3,83.1,1.7,3.8,32989,NA,2,2
118,2018-04-28,NA,15.4,21.7,10.5,56,35,49,12.4,91.2,2,4.8,33738,NA,2,2
119,2018-04-29,NA,16.2,22.9,9.4,47,27,43.1,11.6,84.7,1.9,4.3,35159,NA,2,2
120,2018-04-30,NA,19.2,25,14.1,70,47,61.6,9.2,67.2,1.6,3.6,32629,NA,2,3
121,2018-05-01,0,20.4,23.3,17.8,52,36,72.8,3.2,23.4,1.5,4,34593,1,2,3
122,2018-05-02,12,15.1,19.7,8.7,41,30,90.4,0,0,1.9,5.2,8374,2,2,2
123,2018-05-03,1,11.2,14.7,6.9,24,12,62.4,8.2,59.4,2.7,5.3,25963,1,1,1
124,2018-05-04,NA,14.1,20,8.8,37,15,45.5,12.4,89.9,2.7,5.9,34058,NA,2,1
125,2018-05-05,NA,18.3,24.6,11.6,34,17,46.8,11,79.1,2.6,4.8,37389,NA,2,2
126,2018-05-06,22,16.6,20.7,15,13,8,86.4,3.2,23,1.1,3.9,19809,3,1,1
127,2018-05-07,NA,19.2,25.5,14,30,16,60.3,7.1,51.1,1.2,3.7,40026,NA,1,2
128,2018-05-08,NA,17.5,22.9,11.6,15,7,50.9,11.3,80.7,1.7,2.7,33738,NA,1,1
129,2018-05-09,NA,15.7,21.8,9.2,19,7,50.4,12.6,90,1.7,3.6,37851,NA,1,1
130,2018-05-10,NA,15.4,21.4,11.3,35,18,67.4,12.3,87.9,2.3,5.4,36549,NA,2,2
131,2018-05-11,NA,16.1,21.3,11.9,51,29,59.8,5.3,37.6,1.8,3.5,33923,NA,2,2
132,2018-05-12,32,14.2,16.1,11.8,27,17,89.3,0,0,0.9,2.9,3551,4,1,2
133,2018-05-13,0.5,15.8,20,12.7,18,12,82.5,6.9,48.9,1.9,3.9,35668,1,1,1
134,2018-05-14,NA,18.2,24.5,11.9,58,37,71.4,7.2,50.7,1.4,3.4,35918,NA,2,3
135,2018-05-15,0,23.2,29.3,15.4,66,46,56.4,8.9,62.7,1.1,3.4,36476,1,2,3
136,2018-05-16,45,22.3,24.4,21.8,32,22,93.8,0,0,1.9,6.1,7072,4,2,2
137,2018-05-17,83,20.9,23.5,18.8,13,8,97,0,0,1.4,8,3802,4,1,1
138,2018-05-18,6.5,16.3,19.3,12.2,NA,NA,86.8,0.4,2.8,1.3,2.7,19629,2,NA,NA
139,2018-05-19,NA,17.6,24.7,10.3,NA,NA,47.5,12.7,88.8,1.5,2.9,43471,NA,NA,NA
140,2018-05-20,NA,17,22.6,11.5,9,5,32.1,4.2,29.4,1.4,2.8,39036,NA,1,1
141,2018-05-21,NA,17.8,23.7,11.3,8,5,43.9,8.8,61.5,1.4,3.5,42039,NA,1,1
142,2018-05-22,12.5,18.1,23.2,15.4,NA,NA,75.5,2.7,18.8,1.1,3.1,17444,2,NA,NA
143,2018-05-23,6.5,17.3,23.3,13.6,NA,NA,57.1,12.7,88.2,2.5,5,35975,2,NA,NA
144,2018-05-24,NA,18.3,23.7,11.2,NA,NA,47.4,12.5,86.8,2.2,5.4,36858,NA,NA,NA
145,2018-05-25,NA,19.7,26.2,13.8,NA,NA,47.4,12.1,84,1.8,4.5,37569,NA,NA,NA
146,2018-05-26,NA,21.8,29.6,14,NA,NA,50.1,12.6,86.9,1.4,4,37761,NA,NA,NA
147,2018-05-27,NA,20.3,24.7,17.3,56,25,47.4,4.7,32.4,1.7,4.1,39534,NA,2,2
148,2018-05-28,NA,22.3,29.1,16.2,41,20,49.8,12.5,86.2,1.6,4.3,40775,NA,2,2
149,2018-05-29,1,21.4,25.9,19.1,NA,NA,69.3,3.4,23.4,1.8,4.4,29925,1,NA,NA
150,2018-05-30,0,20.2,24.7,15.8,NA,NA,69.8,9.8,67.6,1.9,4.4,39214,1,NA,NA
151,2018-05-31,NA,20.9,27.6,14.2,NA,NA,58.9,12.9,88.4,1.9,3.6,41619,NA,NA,NA
152,2018-06-01,NA,23.8,30.2,17.5,35,20,50.4,12.9,88.4,1.9,4.3,41970,NA,2,2
153,2018-06-02,NA,23.4,30.1,17.6,43,27,44.5,12.8,87.7,2,4.5,41677,NA,2,2
154,2018-06-03,NA,24,30.8,16.9,NA,NA,39.4,12.9,88.4,1.6,4.2,40565,NA,NA,NA
155,2018-06-04,NA,22.6,27.5,18.9,36,24,50.1,9.2,63,1.9,4.4,44014,NA,2,2
156,2018-06-05,NA,23.7,29.2,17.7,32,22,52.5,11.4,77.6,1.7,4,44118,NA,2,2
157,2018-06-06,NA,23,27.9,18.4,NA,NA,62.9,12.7,86.4,2,4,40440,NA,NA,NA
158,2018-06-07,NA,22.2,29.4,17.8,NA,NA,69.3,9.4,63.9,2,4.1,42038,NA,NA,NA
159,2018-06-08,NA,21.9,27,18.5,NA,NA,68,7.1,48.3,2.1,3.7,46516,NA,NA,NA
160,2018-06-09,0.5,23.7,30.1,18.9,NA,NA,60.6,7.9,53.7,1.4,3.5,32839,1,NA,NA
161,2018-06-10,0.5,21.3,24.9,18.3,NA,NA,59.9,1.4,9.5,1.4,2.9,39277,1,NA,NA
162,2018-06-11,5,20.2,23.9,18,NA,NA,67.3,3.3,22.4,1.4,4.3,30605,2,NA,NA
163,2018-06-12,0,21.3,27.1,16.6,NA,NA,65.5,12.1,82.3,1.7,4.7,46201,1,NA,NA
164,2018-06-13,0,22,27,18.3,NA,NA,64,4.9,33.3,1.5,5.1,49116,1,NA,NA
165,2018-06-14,29,21.6,25.1,18.8,NA,NA,74.9,1.4,9.5,1.1,3.7,30511,3,NA,NA
166,2018-06-15,16.5,21.7,27,17.2,NA,NA,60.8,9.8,66.2,1.4,2.7,45103,3,NA,NA
167,2018-06-16,NA,22.5,28.7,16.3,NA,NA,56.4,13,87.8,1.4,2.8,46457,NA,NA,NA
168,2018-06-17,NA,22.8,27.5,18.9,NA,NA,66.9,2.4,16.2,1.3,3.9,43484,NA,NA,NA
169,2018-06-18,NA,24.8,30.8,19.9,NA,NA,54.9,12.6,85.1,1.5,4,36316,NA,NA,NA
170,2018-06-19,NA,22.4,27.2,19.1,NA,NA,61.3,3.1,20.9,1.8,3.6,47296,NA,NA,NA
171,2018-06-20,NA,22.7,28.4,19.1,NA,NA,68.1,10.2,68.9,2.3,4.2,46612,NA,NA,NA
172,2018-06-21,NA,23.7,28.7,19.4,NA,NA,60.1,12.6,85.1,2.2,4.4,47762,NA,NA,NA
173,2018-06-22,NA,25,32,18.2,38,23,45.1,12.4,83.8,1.8,4.3,47478,NA,2,2
174,2018-06-23,NA,24.5,28.9,20.9,NA,NA,50.6,8.5,57.4,2,4.4,45663,NA,NA,NA
175,2018-06-24,NA,25.2,32.1,20.1,NA,NA,62.8,11.1,75,1.9,3.7,39548,NA,NA,NA
176,2018-06-25,NA,27.1,32.9,21.3,NA,NA,57.1,7.8,52.7,1.2,3.2,46565,NA,NA,NA
177,2018-06-26,71.5,22.3,26.9,20.2,51,34,88.3,0,0,2.4,5.7,6391,4,2,2
178,2018-06-27,1,22.3,25.5,19.1,NA,NA,81.9,2.9,19.6,2,4.5,41128,1,NA,NA
179,2018-06-28,26.5,23.3,27.3,20.6,NA,NA,85.1,1.9,12.8,1.1,4.3,27757,3,NA,NA
180,2018-06-29,6.5,24.7,29.1,21.9,NA,NA,78.5,8.4,56.8,1.5,3.2,42765,2,NA,NA
181,2018-06-30,14.5,24.4,27.9,21.6,50,34,83.8,0.5,3.4,0.9,5.1,26911,2,2,2
182,2018-07-01,83.5,21.9,22.8,21,11,8,94.6,0,0,0.8,2.3,4358,4,1,1
183,2018-07-02,59.5,22.6,25.3,20.6,10,7,95.4,0.1,0.7,0.7,2.9,6261,4,1,1
184,2018-07-03,0.1,27.4,32.6,22.5,11,8,74.4,10.1,68.7,0.8,2.6,41350,1,1,1
185,2018-07-04,NA,27.3,31.8,24,NA,NA,69.6,8.4,57.1,1.7,3.9,45741,NA,NA,NA
186,2018-07-05,0.5,25.3,29,23.4,NA,NA,72.8,1.7,11.6,1.2,3,39804,1,NA,NA
187,2018-07-06,NA,23.9,27.1,21.5,6,3,57.8,2.6,17.7,1.8,3.4,49521,NA,1,1
188,2018-07-07,NA,23.7,29.2,19.5,7,5,51.4,NA,0,1.6,2.3,48015,NA,1,1
189,2018-07-08,NA,23.3,28.1,17.7,11,8,51.5,9.5,65.1,1.5,2.8,48132,NA,1,1
190,2018-07-09,14,20.8,24.2,20.1,9,7,82.3,0,0,1.1,1.8,8155,2,1,1
191,2018-07-10,16.5,23.7,26.5,20.4,19,13,87.8,0,0,0.7,1.6,27956,3,1,1
192,2018-07-11,3,26.8,29.5,24.4,34,23,82.9,0.1,0.7,1.3,3.9,35390,2,2,2
193,2018-07-12,1,26.6,28.2,25.1,28,18,82.4,1.1,7.5,1.5,3.6,43611,1,1,2
194,2018-07-13,NA,27.3,30.9,24.7,22,17,74.8,7,47.9,1.8,3.4,44976,NA,1,2
195,2018-07-14,0,27.9,31.9,24.6,20,15,69.6,11.3,77.9,1.9,4.2,39205,1,1,1
196,2018-07-15,NA,28.3,33.2,24.5,23,18,69.6,11,75.9,1.6,3.7,34957,NA,1,2
197,2018-07-16,NA,28.7,34,24,24,20,64.3,12.9,89,1.7,3.6,40964,NA,1,2
198,2018-07-17,NA,28.1,32.1,23.9,28,25,66.5,13,89.7,1.7,4.1,43323,NA,1,2
199,2018-07-18,NA,28.2,33.2,23.7,33,30,64.8,13,89.7,1.6,4.1,42609,NA,2,2
200,2018-07-19,NA,28.7,34.1,23.2,29,23,64.1,12.9,89.6,1.6,3.2,42316,NA,1,2
201,2018-07-20,NA,29.5,34.7,24.6,36,28,62.6,12.9,89.6,1.5,3.3,40337,NA,2,2
202,2018-07-21,NA,30.6,36.9,24.9,35,28,53.6,12.9,89.6,1.5,3.6,32360,NA,2,2
203,2018-07-22,NA,31.8,38,25.3,29,22,49.6,12.2,84.7,1.4,3.7,28250,NA,1,2
204,2018-07-23,NA,31.7,35.7,29.2,31,24,53.8,8,55.6,1.8,4,38003,NA,2,2
205,2018-07-24,NA,31.4,36.8,27.2,40,33,59.5,10.2,71.3,1.6,4,37486,NA,2,2
206,2018-07-25,NA,30.1,34.1,27.7,32,24,66.3,5.2,36.4,2.4,3.8,39225,NA,2,2
207,2018-07-26,NA,30.1,33.7,27.3,40,29,68.8,4.4,30.8,1.5,3.4,37796,NA,2,2
208,2018-07-27,NA,30.9,35.4,27.2,43,30,69.3,9.3,65.5,1.9,3.7,34985,NA,2,2
209,2018-07-28,7.5,29.5,35.2,28,31,21,77.1,3.4,23.9,1.2,3.6,24649,2,2,2
210,2018-07-29,NA,31.3,36.7,26.4,18,12,52.4,12.3,86.6,1.2,2.9,28317,NA,1,1
211,2018-07-30,NA,31.7,36.9,26.2,9,6,50.9,11,77.5,1.2,2.4,36701,NA,1,1
212,2018-07-31,NA,32.6,38.3,27.8,15,9,50.5,12,85.1,1.5,3.6,35262,NA,1,1
213,2018-08-01,NA,33.6,39.6,27.8,29,17,55.5,12.6,89.4,1.7,4,31169,NA,1,2
214,2018-08-02,NA,33.7,37.9,30.3,29,19,54.4,9.8,69.5,1.6,3.2,31321,NA,1,2
215,2018-08-03,NA,33.1,37.9,30,41,30,55.3,10.5,75,1.9,4.2,31646,NA,2,2
216,2018-08-04,NA,31.1,34.9,28,24,17,60.6,12.1,86.4,2.4,4.6,28174,NA,1,2
